"Name","External_ID__c","Fax","Phone","BillingStreet","BillingCity","BillingState","BillingCountry","BillingPostalCode"
"United Partners*","Account.001","(673) 555-0182","(673) 555-0153","1 Market St.","San Francisco","California","United States","94105"
"Acme Resellers","Account.010","(794) 555-0182","(794) 555-0153","240 E 3rd Ave","San Mateo","Ca","USA","94401"
"DFC Inc.","Account.018","(769) 555-0182","(769) 555-0153","1525 Park Pl","Kings","NY","USA","11213"
"CTW Resellers","Account.039","(415) 555-0182","(415) 555-0153","223 Polk St.","San Francisco","CA","USA","94133"
"Bronze Partners","Account.011","(720) 555-0182","(720) 555-0153","","","","",""
"Silver Partners","Account.017","(720) 555-0182","(720) 555-0153","","","","",""
"Vand Enterprises, Inc.","Account.008","(674) 555-0182","(674) 555-0153","3418 Poplar Ave","Shelby","TN","USA","38111"
"Advanced Interconnections Corp*","Account.006","(346) 555-0182","(401) 823-5200","PO Box 1019","West Warwick","RI","USA","02893-0919"
"XPower","Account.013","(129) 555-0182","(129) 555-0153","124 8th Avenue","New York","NY","USA","10011"
"Employnet","Account.016","(794) 555-0182","(794) 555-0153","26 Boot Rd","Delaware","PA","USA","19073"
"Optos Inc.","Account.022","(720) 555-0182","(720) 555-0153","5546 Geary Blvd","San Francisco","CA","USA","94121"
"Allied Technologies","Account.009","(494) 555-0182","(494) 555-0153","16909 SE Alder St","Multnomah","OR","USA","97233"
"Anaco Limited","Account.032","(655) 555-0182","(655) 555-0153","5628 SE Alder St","Multnomah","OR","USA","97215"
"UlyssesNet","Account.020","(765) 555-0182","(765) 555-0153","6805 15th Ave NW","King","WA","USA","98117"
"Universal Services","Account.007","(274) 555-0182","(274) 555-0153","4191 Tamarus St","Clark","NV","USA","89119"
"United Partners (East)","Account.004","(543) 555-0182","(543) 555-0153","2137 N Clarendon Blvd","Arlington","VA","USA","22209"
"Big Sky & Sons","Account.030","(276) 555-0182","(276) 555-0153","6039 E Northwest Hwy","Dallas","TX","USA","75225"
"United Partners (San Francisco)","Account.003","(791) 555-0182","(791) 555-0153","1 California St.","San Francisco","CA","USA","94105"
"Southern Research Co.","Account.024","(482) 555-0182","(482) 555-0153","309 8th Ave","Santa Cruz","CA","USA","95062"
"Haven Enterprises","Account.019","(590) 555-0182","(590) 555-0153","405 S Stricker St","Baltimore (city)","MD","USA","21223"
"Net Inc.","Account.014","(422) 555-0182","(422) 555-0153","504 West 24th Street","Austin","TX","USA","78705"
"United Partners (Bay Area)","Account.002","(684) 555-0182","(684) 555-0153","333 Dolores St","San Francisco","CA","USA","94110"
"Aims Social","Account.035","(603) 555-0182","(603) 555-0153","1419 Gunderson Ave","Cook","IL","USA","60402"
"Valley Supply Inc.","Account.027","(537) 555-0182","(537) 555-0153","6217 Santa Teresa Blvd","San Jose","CA","USA","95119"
"Associated Supply Co.","Account.026","(792) 555-0182","(792) 555-0153","2056 Laurel Ave","Jefferson","TX","USA","77701"
"Homeland Product Co.","Account.036","(448) 555-0182","(448) 555-0153","1984 Gufford Dr","New Hanover","NC","USA","28403"
"Open Source Inc.","Account.021","(187) 555-0182","(187) 555-0153","600 Congress Avenue","Austin","TX","USA","78701"
"Towson Inc.","Account.012","(467) 555-0182","(467) 555-0153","1678 50th Ave","Alameda","CA","USA","94601"
"General Utilities","Account.025","(319) 555-0182","(319) 555-0153","550 West Washington Boulevard","Chicago","IL","USA","60661"
"United Partners (VA)","Account.005","(174) 555-0182","(174) 555-0153","1419 Commerce Rd","Richmond (city)","VA","USA","23224"
"Tyconet","Account.015","(546) 555-0182","(546) 555-0153","5815 Fairview Pl N","King","WA","USA","98109"
"Universal Containers","Account.023","(666) 555-0182","(666) 555-0153","3544 Wedo St","Clark","NV","USA","89031"
"Missoula & Sons Inc.","Account.029","(178) 555-0182","(178) 555-0153","440 South La Salle Street","Chicago","IL","USA","60605"
"Opportunity Resources Inc","Account.028","(224) 555-0182","(224) 555-0153","400 North Robinson Street","Richmond","VA","USA","23220"
"Harmon Consulting","Account.040","(720) 555-0182","(720) 555-0153","","","","",""
"Gusto Distributing","Account.041","(631) 555-0182","(631) 555-0153","69 Oberlin","Stevens Point","WI","USA","54481"
"Morpon Brothers","Account.031","(344) 555-0182","(344) 555-0153","846 Divisadero St","San Francisco","CA","USA","94117"
"AB Partners, Inc.","Account.034","(711) 555-0182","(711) 555-0153","31 East Roosevelt Road","Chicago","IL","USA","60605"
"Fire Suppression Systems Inc","Account.042","(767) 555-0182","(767) 555-0153","5680 Hardwoods Cove","Friedensburg","PA","USA","17933"
"Roseburg Forest Products Co","Account.038","(261) 555-0182","(261) 555-0153","3484 Pinklon Circle","San Miguel","CA","USA","93451"
"Jones Building Corp","Account.037","(720) 555-0182","(720) 555-0153","","","","",""
"Data Mart","Account.033","(678) 555-0182","(678) 555-0153","310 Henry St","New York","NY","USA","10002"
